Planta;Tipo_Carga;Habilitado;Turnos_Cargados;Turnos_Calc;Turnos_Sabado;Min_LV;Min_SAB;Minutos_Turno;TotalDia;Estatus
Parque Canuelas;INSUMOS;1;12;12;0;480;0;40;12;OK
Parque Canuelas;PACKAGING;1;12;12;0;480;0;40;12;OK
Parque Canuelas;NO_PRODUCTIVO;1;12;12;0;480;0;40;12;OK
Predio Canuelas;INSUMOS;1;16;10.5;6;420;240;40;10.5;OK
Predio Canuelas;PACKAGING;1;16;10.5;6;420;240;40;10.5;OK
Predio Canuelas;NO_PRODUCTIVO;1;16;10.5;6;420;240;40;10.5;OK
Spegazzini;INSUMOS;1;15;10.67;5.33;480;240;45;10.67;OK
Spegazzini;PACKAGING;1;15;10.67;5.33;480;240;45;10.67;OK
Spegazzini;NO_PRODUCTIVO;1;15;10.67;5.33;480;240;45;10.67;OK
Almar;INSUMOS;0;0;14;8;420;240;30;14;OK
Almar;PACKAGING;1;22;14;8;420;240;30;14;OK
Almar;NO_PRODUCTIVO;1;22;14;8;420;240;30;14;OK
Metro Mataderos;INSUMOS;1;12;12;0;480;0;40;12;OK
Metro Mataderos;PACKAGING;0;0;12;0;480;0;40;12;OK
Metro Mataderos;NO_PRODUCTIVO;1;12;12;0;480;0;
